time,x,y,z
4.882704,0.21103,0.097426,0.005781
4.898608,0.3033,0.19493,0.044538
4.914513,0.243851,0.215575,-0.111803
4.930417,0.409348,0.233733,-0.150103
4.946322,0.619019,0.232162,-0.107058
4.962226,0.63971,0.268752,0.008009
4.978131,0.796952,0.229888,0.054762
4.994036,0.878907,0.165648,0.109068
5.00994,0.7715,0.178771,0.106169
5.025845,0.690232,0.169524,0.015913
5.041749,0.684541,0.124999,-0.077379
5.057654,0.689179,0.068419,0.014189
5.073558,0.689698,0.009139,0.104002
5.089463,0.593552,-0.027741,0.156736
5.105368,0.494187,-0.038972,0.164061
5.121272,0.452836,-0.041917,0.126661
5.137177,0.382233,-0.026017,0.046049
5.153081,0.386155,-0.005342,0.086668
5.168986,0.333878,-0.020783,0.137617
5.18489,0.306962,-0.04242,0.251112
5.200795,0.248566,-0.025285,0.19705
5.2167,0.253953,0.008224,0.092817
5.232604,0.168046,0.081344,-0.071779
5.248509,0.268586,0.069945,-0.086412
5.264413,0.238557,0.053618,0.078031
5.280318,0.183808,-0.008073,0.287687
5.296222,0.184434,0.005446,0.340361
5.312127,0.199067,0.055465,0.218702
5.328032,0.190125,0.087798,0.039198
5.343936,0.12851,0.060607,0.049818
5.359841,0.120133,0.002532,0.169203
5.375745,0.142899,-0.026963,0.270353
5.39165,0.095032,0.027053,0.287138
5.407554,0.042039,0.075927,0.159208
5.423459,0.045762,0.091277,0.087446
5.439364,0.056596,0.043868,0.070616
5.455268,0.002137,0.007079,0.154615
5.471173,-0.030532,0.010085,0.187956
5.487077,-0.021163,0.007979,0.174986
5.502982,-0.026839,-0.004258,0.190779
5.518886,-0.042693,0.006545,0.152204
5.534791,-0.048858,0.013091,0.095243
5.550696,-0.067443,0.035781,0.027082
5.5666,-0.037475,0.02011,0.029432
5.582505,-0.070159,0.012282,0.047499
5.598409,-0.039458,-0.015321,0.086836
5.614314,-0.022094,-0.016221,0.060774
5.630218,-0.018493,-0.023332,-0.007052
5.646123,-0.021667,-0.016038,-0.025332
5.662028,-0.011703,-0.047105,-0.047747
5.677932,-0.032974,-0.026887,-0.033815
5.693837,-0.033218,-0.023515,-0.023455
5.709741,0.01703,-0.042054,0.006269
5.725646,0.015748,-0.031327,0.041365
5.74155,-0.002486,-0.015244,0.028898
5.757455,-0.003906,0.00508,-0.015551
5.77336,-0.014953,0.028502,-0.011919
5.789264,0.01561,0.014983,0.009443
5.805169,0.002061,0.018813,0.057753
5.821073,0.010957,-0.01262,0.07704
5.836978,-0.020751,0.008971,0.07855
5.852882,-0.027679,0.008422,0.030882
5.868787,0.000413,-0.000428,0.013334
5.884692,-0.008804,-0.009919,0.031309
5.900596,-0.031356,-0.014344,0.024153
5.916501,-0.062606,-0.011949,0.034346
5.932405,-0.052169,-0.015992,0.050703
5.94831,-0.0475,-0.030549,0.066603
5.964214,-0.098876,-0.030503,0.047956
5.980119,-0.17633,-0.012391,-0.008364
5.996024,-0.192733,-0.063462,-0.049517
6.011928,-0.317229,-0.091386,-0.023012
6.027833,-0.459472,-0.088838,-0.079699
6.043737,-0.592391,-0.140183,-0.117022
