time,x,y,z
2.751491,-0.04045,0.179336,-0.896853
2.767396,-0.028686,0.140609,-0.768404
2.7833,-0.071319,0.126601,-0.604738
2.799205,0.00293,0.089004,-0.432879
2.815109,0.064057,0.050689,-0.263582
2.831014,-0.008651,0.086913,-0.199663
2.846918,-0.040435,0.094222,-0.178927
2.862823,-0.067321,0.067855,-0.092074
2.878728,-0.014434,0.047256,0.018782
2.894632,0.134156,0.002517,0.035994
2.910537,0.121888,-0.003694,0.025007
2.926441,0.031617,0.024566,0.051222
2.942346,-0.036727,0.050338,-0.024599
2.95825,0.016785,0.021132,-0.052843
2.974155,0.06804,0.001723,0.014357
2.99006,0.111237,-0.03383,0.084486
3.005964,0.12497,-0.038316,0.209516
3.021869,0.010651,0.021789,0.098188
3.037773,0.002396,0.023391,0.040678
3.053678,0.027573,0.013061,0.088423
3.069582,0.125138,-0.029817,0.255049
3.085487,0.113984,-0.050462,0.392958
3.101392,0.031342,-0.0067,0.435194
3.117296,0.025849,0.024886,0.38043
3.133201,0.036286,0.034652,0.260145
3.149105,0.018479,0.044265,0.2469
3.16501,0.038239,0.039092,0.249128
3.180914,0.097581,0.015487,0.2097
3.196819,0.052598,0.022079,0.177931
3.212724,0.028092,0.018249,0.182859
3.228628,0.06067,0.004073,0.22508
3.244533,0.101975,-0.028749,0.264311
3.260437,0.09166,-0.021317,0.309141
3.276342,0.103623,-0.02086,0.319853
3.292246,0.047578,-0.001145,0.296019
3.308151,0.05243,0.005584,0.230909
3.324056,0.042191,0.006576,0.20706
3.33996,0.057664,0.014297,0.220686
3.355865,0.081895,0.013793,0.158995
3.371769,0.087708,0.015487,0.140333
3.387674,0.119126,0.006743,0.176557
3.403578,0.096391,0.010619,0.230787
3.419483,0.090806,0.010345,0.260328
3.435388,0.108933,0.015029,0.34384
3.451292,0.10022,0.024917,0.409315
3.467197,0.078965,0.032256,0.559248
3.483101,0.104829,0.026305,0.712309
3.499006,0.11348,-0.006089,0.785612
3.51491,-0.051208,0.024428,0.959516
3.530815,-0.139724,0.083907,1.180525
